age,education,default,housing,loan,contact,month,day_of_week,duration,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,campaign,pdays,previous,poutcome
9,0,0,0,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
9,3,1,0,0,telephone,may,mon,2,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
5,3,0,2,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
5,1,0,0,0,telephone,may,mon,2,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
9,3,0,0,2,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
6,2,1,0,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
9,5,0,0,0,telephone,may,mon,2,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
6,7,1,0,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
2,5,0,2,0,telephone,may,mon,4,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
2,3,0,2,0,telephone,may,mon,1,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
6,7,1,0,0,telephone,may,mon,1,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
2,3,0,2,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
3,3,0,0,2,telephone,may,mon,2,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
9,0,0,2,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
4,1,0,2,0,telephone,may,mon,2,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
8,2,1,2,2,telephone,may,mon,2,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
4,1,0,2,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
7,1,1,2,2,telephone,may,mon,4,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
7,2,0,2,2,telephone,may,mon,4,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
5,2,1,0,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
3,3,0,0,0,telephone,may,mon,1,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
8,0,1,2,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
8,3,0,2,0,telephone,may,mon,4,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
6,3,0,2,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
5,3,0,2,0,telephone,may,mon,2,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
4,6,0,0,2,telephone,may,mon,1,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
9,7,0,2,0,telephone,may,mon,1,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
5,2,1,0,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
8,6,1,0,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,2,999,0,nonexistent
8,6,1,1,1,telephone,may,mon,4,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
7,7,0,0,0,telephone,may,mon,4,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
9,7,0,2,0,telephone,may,mon,4,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
7,7,0,0,0,telephone,may,mon,1,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
8,0,1,2,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
8,0,0,0,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
8,0,1,2,0,telephone,may,mon,4,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
4,3,0,0,0,telephone,may,mon,4,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
8,2,0,2,0,telephone,may,mon,5,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
6,6,0,2,0,telephone,may,mon,4,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
9,0,0,2,0,telephone,may,mon,2,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
9,6,0,2,0,telephone,may,mon,4,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
4,3,0,2,0,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
5,5,0,0,0,telephone,may,mon,2,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
9,6,0,0,2,telephone,may,mon,3,1.1,93.994,-36.4,4.857,5191.0,1,999,0,nonexistent
